time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
175,-0.09220487,1764,1053,0,1232,2.7999995,-0.39846978,4049,505,8
176,-0.0998769,1794,1061,1,1201,2.5,-0.40742043,4057,503,8
177,-0.09247037,1798,1095,0,1154,2.7999997,-0.4002237,4047,512,7
178,-0.101312,1809,1120,0,1129,2.7,-0.4217609,4058,510,7
179,-0.09560217,1798,1019,0,1234,2.6999998,-0.3821043,4051,505,8
180,-0.10033723,1816,1009,0,1224,2.6,-0.3995815,4049,507,7
181,-0.09102298,1786,1014,0,1253,2.9,-0.41236222,4053,506,8
182,-0.084830776,1795,970,0,1281,1.8000002,-0.4407576,4046,506,7
183,-0.09720223,1800,1019,0,1218,2.6999996,-0.40052152,4037,504,8
184,-0.086657375,1789,1054,0,1218,2.1000001,-0.39288467,4061,504,8
185,-0.09031875,1781,1112,0,1160,2.6000001,-0.40898225,4053,510,7
186,-0.09517464,1779,1131,0,1125,2.7000003,-0.40299976,4035,505,7
187,-0.09963367,1785,1125,0,1135,2.6,-0.3913486,4045,514,7
188,-0.085265584,1757,1195,0,1100,2.6,-0.42739514,4052,498,8
189,-0.07952315,1738,1133,0,1171,2.6999998,-0.40621105,4042,494,8
190,-0.08551106,1723,1103,0,1200,2.8000002,-0.38003078,4026,489,8
191,-0.07306986,1754,976,0,1316,2.6999998,-0.39542922,4046,499,8
192,-0.07388719,1719,1014,0,1309,2.7999995,-0.38998124,4042,495,8
193,-0.07645339,1767,991,0,1297,3.0999997,-0.42890382,4055,512,7
194,-0.08151267,1732,984,0,1333,2.6,-0.3955063,4049,503,8
195,-0.07929445,1766,948,0,1341,2.3999999,-0.43410772,4055,515,7
196,-0.07338237,1762,966,0,1328,3.6999998,-0.4176295,4056,503,8
197,-0.078546986,1762,936,0,1338,2.6999996,-0.43003133,4036,505,7
198,-0.08119585,1742,979,0,1306,3.0999997,-0.37559077,4027,490,8
199,-0.08453969,1755,1069,0,1216,3.1,-0.38492677,4040,493,8
200,-0.08550895,1756,1136,0,1160,2.5,-0.39723712,4052,489,8
201,-0.0863607,1740,1204,0,1112,2.9,-0.41859114,4056,492,8
202,-0.094350696,1740,1252,0,1058,2.5,-0.38590246,4050,493,8
203,-0.087882854,1720,1180,0,1159,2.8999996,-0.39571458,4059,484,8
204,-0.08347104,1714,1188,0,1148,2.2,-0.3942976,4050,479,8
205,-0.08502297,1738,1192,0,1115,3.9999995,-0.38234982,4045,493,8
206,-0.09520661,1732,1221,0,1088,2.4999998,-0.39312196,4041,490,8
207,-0.08653941,1745,1185,1,1112,2.9,-0.392556,4043,486,8
208,-0.085688666,1741,1132,0,1171,2.1999998,-0.42579263,4044,489,8
209,-0.08244708,1721,1117,0,1214,2.5,-0.38447794,4052,479,8
210,-0.08362778,1731,1088,0,1220,2.6,-0.38586384,4039,485,8
211,-0.09056332,1721,1085,0,1228,3.1999998,-0.42159307,4034,486,8
212,-0.09604667,1704,1155,0,1178,2.1000001,-0.4116435,4037,487,8
213,-0.09368837,1732,1232,0,1088,2.9,-0.38052937,4052,485,8
214,-0.0910492,1722,1302,0,1015,2.8000002,-0.38665634,4039,471,8
215,-0.102025874,1692,1329,1,1014,3.1,-0.36588326,4036,466,8
216,-0.09209951,1675,1436,0,948,3.1000001,-0.32352892,4059,454,8
217,-0.07640528,1672,1466,0,916,2.8000002,-0.33710012,4054,437,9
218,-0.075341016,1635,1501,0,903,2.8000002,-0.32037732,4039,459,8
219,-0.09117134,1610,1497,0,937,2.9,-0.35091612,4044,450,8
220,-0.075024515,1620,1466,1,970,2.9,-0.3279278,4057,445,9
221,-0.09895169,1573,1495,0,981,2.9,-0.36379457,4049,468,8
222,-0.0866583,1560,1488,0,1002,3.1000001,-0.3481738,4050,447,9
223,-0.10012336,1599,1436,0,1006,2.1999998,-0.35474008,4041,455,8
224,-0.0895728,1596,1466,0,997,2.8,-0.30771223,4059,440,9
225,-0.066971056,1572,1493,0,973,3.9999995,-0.3080742,4038,427,9
226,-0.07349645,1610,1508,0,931,3.0,-0.3168199,4049,435,9
227,-0.084993765,1586,1580,0,906,2.2,-0.339613,4072,437,9
228,-0.076650284,1529,1662,1,871,3.6999993,-0.27775142,4063,427,9
229,-0.0629921,1518,1709,0,835,2.5,-0.24702156,4062,425,9
230,-0.06984503,1494,1690,0,852,3.0,-0.30101645,4036,419,9
231,-0.05149721,1481,1742,0,828,3.0999994,-0.22359939,4051,416,9
232,-0.05463328,1469,1780,0,823,3.1,-0.23627254,4072,413,9
233,-0.06523361,1440,1794,0,802,3.1000001,-0.30156177,4036,428,9
234,-0.07790617,1368,1831,0,845,2.5999994,-0.27774537,4044,403,10
235,-0.07414481,1384,1833,0,838,3.1,-0.2411102,4055,401,10
236,-0.0670301,1362,1874,0,828,3.0000002,-0.253101,4064,402,10
237,-0.078382626,1227,1959,0,861,3.0,-0.25458393,4047,412,9
238,-0.07979186,1215,2018,0,842,3.1,-0.24822146,4075,410,9
239,-0.06577473,1228,2016,0,809,2.2000003,-0.28480217,4053,399,10
240,-0.0636341,1251,2011,0,802,3.0999997,-0.23946902,4064,398,10
241,-0.052545063,1325,1945,1,778,3.1000001,-0.21232402,4049,387,10
242,-0.050869297,1410,1906,0,767,3.1000001,-0.23125197,4083,401,10
243,-0.041172553,1428,1850,0,777,3.0,-0.2465109,4055,389,10
244,-0.053668182,1426,1842,0,779,3.7999997,-0.2617007,4047,394,10
245,-0.05029188,1416,1870,0,773,2.3999999,-0.2255732,4059,398,10
246,-0.059454277,1368,1882,0,789,3.1000001,-0.18365948,4039,375,10
247,-0.05302694,1373,1908,0,782,2.9,-0.26948136,4063,394,10
248,-0.05996291,1302,1943,0,800,3.6999993,-0.2114961,4045,384,10
249,-0.06852168,1259,2010,0,792,2.6999998,-0.2637043,4061,388,10
250,-0.044777144,1238,2062,0,772,3.9999995,-0.17733318,4072,381,10
251,-0.02828671,1146,2105,0,804,2.8999996,-0.2180276,4055,379,10
252,-0.029115153,1116,2151,0,801,3.8999996,-0.22512347,4068,390,10
253,-0.016657842,1107,2146,0,796,3.6999998,-0.26468316,4049,385,10
254,-0.022030497,1081,2174,0,786,3.1,-0.27032983,4041,403,10
255,-0.010991981,1057,2218,0,795,3.0,-0.27329305,4070,397,10
256,-0.010713545,1063,2196,0,791,2.9,-0.29296383,4050,398,10
257,-0.01350166,1051,2202,0,790,2.9999995,-0.25943664,4043,396,10
258,-0.0151147945,1094,2159,0,785,3.1,-0.2740719,4038,388,10
259,-0.016697928,1088,2189,0,776,2.8999996,-0.25549018,4053,394,10
260,-0.013658428,1108,2175,0,763,3.8999999,-0.25469652,4046,388,10
261,-0.013695943,1106,2161,0,771,2.7999997,-0.25185776,4038,380,10
262,-0.019177115,1116,2163,0,768,2.2000003,-0.26921228,4047,384,10
263,-0.027357068,1130,2147,0,779,3.0,-0.27051345,4056,388,10
264,-0.02661792,1142,2144,0,766,3.0,-0.22551867,4052,381,10
265,-0.025190255,1135,2155,0,774,3.0,-0.24690022,4064,379,10
266,-0.028618403,1152,2147,1,762,2.5,-0.23673096,4062,385,10
267,-0.03336679,1144,2120,0,772,3.3999999,-0.24846436,4036,388,10
268,-0.051247053,1202,2094,0,767,2.3999996,-0.24100439,4063,395,10
269,-0.03262351,1185,2129,0,766,3.0,-0.21894634,4080,380,10
270,-0.030507717,1193,2122,0,752,2.8999996,-0.2471606,4067,380,10
271,-0.029530823,1154,2124,0,775,2.8,-0.2359491,4053,381,10
272,-0.020746155,1126,2166,0,745,3.1,-0.2709445,4037,380,10
273,-0.023971502,1135,2164,0,769,2.7999997,-0.21816675,4068,379,10
274,-0.016793588,1109,2183,0,769,3.1999998,-0.25314048,4061,386,10
275,-0.012601409,1100,2206,0,760,3.0,-0.26065004,4066,386,10
276,-0.010289533,1104,2198,0,748,2.9,-0.26688957,4050,387,10
277,-0.008470396,1091,2204,0,736,3.1000001,-0.21962342,4031,379,10
278,-0.013282968,1104,2201,0,750,3.1000001,-0.2611105,4055,380,10
279,0.000680465,1106,2199,0,753,2.6,-0.25497848,4058,382,10
280,-0.0028882616,1084,2214,0,781,3.7999997,-0.24689929,4079,381,10
281,0.0011914654,1088,2204,0,778,2.9999995,-0.24609399,4070,382,10
282,-0.003268372,1083,2220,0,772,3.1000001,-0.2532522,4075,383,10
283,-0.003108008,1100,2204,0,765,3.1,-0.24824321,4069,377,10
284,-0.0101723,1082,2201,0,765,3.0,-0.24029198,4048,377,10
285,-0.005138341,1095,2210,0,759,3.1000001,-0.22204769,4064,379,10
286,-0.0075719985,1083,2207,0,773,3.1,-0.27750516,4063,382,10
287,-0.002726431,1078,2194,0,773,2.2,-0.26452473,4045,377,10
288,-0.002661547,1087,2221,1,765,2.2,-0.27302492,4074,387,10
289,-0.0015640904,1105,2186,0,767,3.0,-0.22405168,4058,380,10
290,-0.006869504,1086,2199,0,772,3.7000003,-0.26847506,4057,382,10
291,-0.001983446,1073,2168,0,781,3.0,-0.21956775,4022,375,10
292,-0.00044258375,1098,2197,0,765,3.1,-0.21485253,4060,380,10
293,0.001324324,1077,2210,0,779,3.0,-0.23740844,4066,379,10
294,-0.007367539,1084,2206,0,768,3.9999995,-0.21160702,4058,382,10
295,-0.00375886,1082,2222,0,767,3.1,-0.28260958,4071,385,10
296,-0.0012888303,1081,2218,0,769,3.2999997,-0.23515274,4068,381,10
297,0.0007393534,1083,2188,0,774,3.1,-0.24309061,4045,371,10
298,0.0005720779,1064,2239,0,761,3.1,-0.2641001,4064,392,10
299,0.0035173567,1085,2191,0,765,3.1000001,-0.2351649,4041,372,10
300,-0.00048056914,1082,2209,0,756,3.9999998,-0.2384981,4047,378,10
301,-0.001961545,1078,2226,0,751,2.9,-0.21250336,4055,387,10
302,0.0012667258,1097,2192,0,763,3.0,-0.21697941,4052,376,10
303,-0.00087949506,1084,2223,0,762,2.9999998,-0.26016292,4069,383,10
304,-0.013388516,1091,2187,0,753,2.9999998,-0.24534905,4031,378,10
305,-0.0024274024,1094,2229,0,744,3.1,-0.22382636,4067,382,10
306,-0.00441559,1088,2221,1,749,3.1000001,-0.2114317,4059,381,10
307,0.0009179429,1102,2199,0,763,3.1,-0.20533976,4064,370,10
308,-0.0004791926,1088,2218,0,755,4.7,-0.2031771,4061,381,10
309,0.0033525645,1101,2217,1,755,3.1000001,-0.24369231,4074,382,10
310,0.001543848,1084,2199,0,756,2.9,-0.24298126,4039,366,11
311,-0.0006973888,1106,2197,0,761,3.1,-0.20155035,4064,373,10
312,-0.002704454,1095,2227,0,748,3.3999999,-0.22879668,4070,384,10
313,0.0024179884,1077,2233,1,756,3.6999993,-0.23919417,4067,377,10
314,-0.0030140893,1077,2210,2,750,3.0999994,-0.25630182,4039,379,10
315,0.0014787329,1108,2186,1,765,3.9999998,-0.2557395,4060,369,11
316,0.00024308878,1071,2224,2,766,3.1,-0.21902591,4063,380,10
317,0.0029829484,1085,2221,2,761,3.6999998,-0.2262722,4069,376,10
318,0.0008805579,1080,2214,0,752,2.8000002,-0.274247,4046,375,10
319,0.0045863525,1093,2201,1,757,3.0,-0.24121477,4052,378,10
320,-0.0004047447,1074,2202,6,763,4.0,-0.21428975,4045,374,10
321,-0.00034113313,1089,2205,4,758,3.0999992,-0.17968434,4056,375,10
322,-0.0023195026,1071,2232,2,756,3.9999998,-0.23747882,4061,384,10
323,-0.0004982753,1076,2233,6,743,2.8999996,-0.26638812,4058,382,10
324,0.0051477617,1087,2196,16,752,3.9999993,-0.24668051,4051,373,10
325,-0.0114271585,1103,2168,41,751,3.7999997,-0.17154846,4063,364,11
326,-0.015814332,1121,2067,122,736,3.9999993,-0.13971816,4046,341,11
327,-0.019144988,1132,1830,415,703,5.499999,0.14448546,4080,296,13
328,0.08651822,1234,1366,901,587,5.9999986,0.6917075,4088,242,16
329,0.113642275,1360,1411,776,586,7.0999975,0.9953057,4133,213,19
330,0.12171187,1485,1499,549,584,7.1999965,1.2829725,4117,165,24
331,0.12336631,1549,1527,470,589,9.300002,1.391099,4135,157,26
332,0.09110088,1561,1491,479,590,7.199997,1.3405957,4121,156,26
333,0.09191959,1580,1458,500,578,6.699998,1.3801006,4116,150,27
334,0.095901966,1593,1454,514,593,6.7999973,1.3560885,4154,152,27
335,0.0562185,1570,1450,507,572,6.399998,1.406829,4099,149,27
336,0.06127674,1568,1493,516,587,6.799998,1.3794646,4164,151,27
337,0.06429029,1580,1472,503,559,7.199998,1.4427546,4114,146,28
338,0.047707457,1574,1476,512,579,6.9999976,1.3956994,4141,148,27
339,0.06239044,1560,1463,518,572,6.399998,1.3966672,4113,148,27
340,0.09190891,1537,1458,530,592,9.200001,1.4971075,4117,143,28
341,0.14066261,1502,1407,599,624,7.4999976,1.5014014,4132,143,28
342,0.13976224,1457,1393,620,667,8.7,1.507709,4137,145,28
